codigo,producto,familia,cantidad,coste,venta,margen_coste,margen_venta,beneficio,familia_legible
013447,ACEITUNA ,AQ JV,21.0,25.27,37.39,0.34502284419181994,0.256518203896479,12.12,otros
013381,ACEITUNA ,AQ JV,20.0,13.38,22.0,0.494768310911809,0.331,8.62,otros
216548,ACEITUNA ,AQ JV,43.0,33.16,50.21,0.376598311218336,0.273571678934455,17.050000000000004,otros
217269,ACEITUNA JOLCA ,AQ JV,9.0,6.11,8.55,0.272370183008481,0.214065204172319,2.4400000000000004,otros
013316,ACEITUNA ,AQ JV,10.0,38.35,60.5,0.434159061277705,0.30272727272727296,22.15,otros
013383,ACEITUNA ,AQ JV,7.0,22.49,35.7,0.443033267310724,0.307015283255647,13.210000000000004,otros
600980,ACEITUNA ,AQ JV,2.0,1.8,2.9,0.464444444444445,0.317147192716237,1.1,otros
013230,ACEITUNA ,AQ JV,3.0,3.57,5.97,0.520218996689586,0.342200036851539,2.4,otros
008431,ACELGA ,AQ JR,8.0,10.06,15.92,0.43860473522501403,0.304882032211865,5.859999999999999,otros
092475,ACELGA MANOJO ,AEAI,0.0,0.0,0.0,1,1,0.0,otros
043161,ACTIMEL FRESA ,A0 LB,2.0,8.487,11.98,0.28313891834570504,0.22066115702479303,3.4930000000000003,otros
215890,ACTIMEL FRESA ,A0 LB,29.0,86.2527,109.91,0.216002067627582,0.177632977260476,23.657299999999992,otros
049293,ACTIMEL ,A0 LB,8.0,23.126,30.32,0.20896227356488498,0.17284432949980702,7.193999999999999,otros
049468,ACTIMEL ,A0 LB,9.0,24.9713,34.11,0.24959453452563501,0.199740417895142,9.1387,otros
049659,ACTIMEL NAT.P-6                                   ,A0 LB,37.0,102.5985,140.23,0.292837164735876,0.22650738447459598,37.63149999999999,otros
207672,ACTIVADOR ,A3 A6,6.0,14.89,19.74,0.0956363192336084,0.0872883798708914,4.849999999999998,otros
208961,ACTIVADOR ,A3 A6,2.0,8.6,15.98,0.5356525081683651,0.34881101376720897,7.380000000000001,otros
