codigo,producto,familia,cantidad,coste,venta,margen_coste,margen_venta,beneficio,familia_legible,cluster,categoria_promocion
600756,GALLETAS ,AQ JD,-0.03767068850719133,-0.037337874007360335,-0.036997898887878695,0.826794258373206,0.452592980618125,-0.03624892999422987,panadería y repostería,0,Estable 🟡
601092,MANZANA ,AEAH,-0.037487577101608674,-0.037083976365236665,-0.03723803882551474,0.16985770020070798,0.145195180722891,-0.03757113224315939,frutas y verduras,0,Estable 🟡
005344,SERVILL.,A3 BG,-0.03767068850719133,-0.03789829303584244,-0.03773742074128059,0.8102941176470589,0.447603574329813,-0.03738065433160699,otros,0,Estable 🟡
035350,PASTA ,AQ JK,-0.023830872968967295,-0.026872744205988813,-0.02717399234822246,0.285906212014586,0.222338308457711,-0.02783064203850927,grano y básicos,0,Estable 🟡
016823,GALL.GOURMET ,AQ JD,-0.02418574003404996,-0.021590496767317054,-0.02271230146146192,0.232457880168262,0.1886132450518509,-0.025166737059760046,otros,0,Estable 🟡
013383,ACEITUNA ,AQ JV,-0.035541486116695324,-0.029229683808044766,-0.028401980665679488,0.443033267310724,0.307015283255647,-0.02658574526739443,otros,0,Estable 🟡
207584,TURRON ,AQ JP,-0.03731582144210867,-0.03574803279180826,-0.03621198636470619,0.0569189431258391,0.0538536502690559,-0.03722395403873939,bebidas alcohólicas,0,Estable 🟡
220317,DANONE ,A0 LB,-0.03234768253095132,-0.034834669013473596,-0.03513135664534401,0.239197021385863,0.1930258201543729,-0.03577708800126187,otros,0,Estable 🟡
010839,CAFE KAIKU ,A0 LB,0.1099540105671984,0.17149571886148218,0.168095252167939,0.302529551357062,0.2322630999364789,0.16062757685025963,otros,0,Estable 🟡
051048,PASTA LORI ,AQ JH,-0.032702549596033983,-0.032755156703531484,-0.0328827735929338,0.311266853557602,0.237378724790536,-0.033158451996007726,grano y básicos,0,Estable 🟡
003596,DEO.SANEX ,A3 BM,-0.036960954377026,-0.03496106139010999,-0.035368767720052374,0.041592675658237904,0.0399318050426509,-0.036257635566055844,otros,0,Estable 🟡
601116,FREGONA DIANA                                     ,AB 3V,-0.03767068850719133,-0.03789431843280356,-0.037789269136906556,0.5570727033177679,0.357769230769233,-0.03755476576812655,otros,0,Estable 🟡
221901,HELADO ,A0 K9,-0.028799011880124643,-0.02091083964766854,-0.02044461636855794,0.357983334031237,0.263613937711994,-0.019421059654614648,congelados,0,Estable 🟡
092407,CEBOLLA TUBO ,AEAI,-0.022056537643553958,-0.024714534755876875,-0.022275683393032753,0.677161686172026,0.403754564485424,-0.016931266112384977,panadería y repostería,0,Estable 🟡
039053,CHOCO.MILKA ,AQ I6,-0.036960954377026,-0.03703818893822877,-0.0368423537010008,0.524261603375528,0.3439446366782009,-0.03640911251582786,otros,0,Estable 🟡
087699,* CERVEZA ,AQ J4,-0.029863613075372646,-0.018108744505258016,-0.019235730091594683,0.134636565048871,0.1186605202019659,-0.021701919473020845,bebidas alcohólicas,0,Estable 🟡
600078,DONAS ZEBRA ,AQ JF,-0.035896353181777994,-0.03590304231032459,-0.0356880446825912,0.43553429027113,0.303395253755221,-0.035212966946938505,otros,0,Estable 🟡
012883,INFU.,AQ I5,-0.03447688492144733,-0.0314276392885455,-0.03162203892034459,0.281185677530016,0.2194730104008899,-0.03204413880228256,otros,0,Estable 🟡
048310,REFRESCO TE ,AQ J2,0.011300966474216804,-0.004475856081898953,0.0015090858846460659,0.416932350736116,0.294250004609969,0.014617726184958737,bebidas sin alcohol,0,Estable 🟡
208017,ATUN FENICIA ,AQ JQ,-0.025605208294380632,-0.01716278898200453,-0.01569912373731844,0.414658983400706,0.293115859204389,-0.012491424481136267,pescados y mariscos,0,Estable 🟡
218698,SUAVIZ.MICAL ,A3 A7,-0.02454060709913263,-0.018041176253597052,-0.016989875902112164,0.265154126356194,0.2095824697026219,-0.014685228581282692,otros,0,Estable 🟡
212913,BOLSA SUMA 70% ,C4 3L,1.6720788310611014,0.05759949417933168,0.10100069936501459,0.752635864578745,0.429430824616638,0.19605054861016358,otros,0,Estable 🟡
206910,GEL MICADERM ,A3 BM,-0.035896353181777994,-0.03547378518212553,-0.03488575898185261,0.45569735976011005,0.313044024367267,-0.03359373058730662,higiene personal,0,Estable 🟡
208974,MERMELADA LA ,AQ JS,-0.036960954377026,-0.03560494708240857,-0.035696231271374244,0.26418604651162797,0.20897718910964,-0.035892001549364776,otros,0,Estable 🟡
040330,CERVEZA SKOL ,AQ J4,0.5641838538730131,0.16825641738479524,0.17024559615495263,0.215290051837481,0.1771511677496,0.17458260848730123,bebidas alcohólicas,0,Estable 🟡
8000011,* LECHE ,AQ JW,0.08546818307649434,0.17436140765251482,0.13339230231660337,0.144676725130047,0.12639090317278,0.04364210265276903,lácteos,0,Estable 🟡
028390,GINEBRA ,AQ J7,-0.03767068850719133,-0.0322503821175937,-0.03225240625663919,0.198319355716024,0.165497915701715,-0.03225307252610603,bebidas alcohólicas,0,Estable 🟡
600512,CHICLE MENTOS ,AQ I9,-0.03660608731194333,-0.036531029590467654,-0.036735928046821194,0.138834951456311,0.121909633418585,-0.0371804261796095,otros,0,Estable 🟡
216741,CROISSANT ,AQ JF,-0.036960954377026,-0.036856947039655835,-0.036916033000048226,0.2396694214876,0.193333333333331,-0.037041137030393856,otros,0,Estable 🟡
033201,ALUBIA ,AQ JJ,-0.036960954377026,-0.03672578513937279,-0.03678504757951948,0.344628099173554,0.2562999385371849,-0.03691055345300419,otros,0,Estable 🟡
051222,DANONE ,A0 AB,-0.021701670578471288,-0.014475957327721528,-0.018185117864436978,0.115180491375762,0.103284169931692,-0.026307166968963056,otros,0,Estable 🟡
030428,FANTA SANDIA ,AQ J2,-0.03234768253095132,-0.03524325820587048,-0.03547792223715966,0.09717818002155919,0.0885710104257174,-0.035987762839450536,bebidas sin alcohol,0,Estable 🟡
092246,BANANA E/K                                        ,AEAH,-0.027270954297878677,-0.022234875310392463,-0.023102528860120486,0.35348507815004704,0.261166586803596,-0.025000251704160044,otros,0,Estable 🟡
600949,CARAMELO PEZ ,AQ I9,-0.03518661905161266,-0.03816856604248629,-0.037502738529499924,1,1.0,-0.0360399962704064,dulces y snacks,2,Candidato a Promoción 🔴
045410,HARINA ,AQ JK,-0.025960075359463302,-0.03248090909384875,-0.03225513511956688,0.46638714185884,0.318051849027831,-0.03175685493202529,panadería y repostería,0,Estable 🟡
600232,EAU DE PARFUM ,A3 BO,-0.03731582144210867,-0.03393958840911778,-0.03214598060245959,0.7073308270676689,0.4142904326764279,-0.028213687198852293,otros,0,Estable 🟡
221558,PLATO LLANO ,A3 4O,-0.03731582144210867,-0.03141174087638998,-0.03160020801692313,0.16577540106951902,0.142201834862385,-0.032009316514978646,otros,0,Estable 🟡
206473,BASTONCILLO ,A3 BR,-0.02915387894520731,-0.033399042395830074,-0.032345187596180394,0.46258333333333196,0.31627827474218,-0.03003315171048167,otros,0,Estable 🟡
600958-P,MALTESERS 37 ,AQ I6,-0.038025555572274,-0.03816856604248629,-0.03868979390304171,1,1.0,-0.03982692001470677,otros,2,Candidato a Promoción 🔴
030111,AGUA FONT ,AQ J1,0.18057255651864926,0.04414148828968379,0.076782040881834,0.848731996189619,0.459088714826661,0.14826566485736933,bebidas sin alcohol,0,Estable 🟡
082982,TOMATE HELIOS ,AQ JA,-0.03412201785636466,-0.0313481472277679,-0.030939823188424014,0.398654375927103,0.285027082307488,-0.030041857282307655,frutas y verduras,0,Estable 🟡
206957,QUESO ,AD AZ,-0.008571589170412586,0.012110162399348007,0.004341645603580279,0.197043478260867,0.1646084556152829,-0.0126742414894818,lácteos,0,Estable 🟡
004371,ENJUAGUE ,A3 BL,-0.032702549596033983,-0.03243321385738219,-0.03204501267413534,0.27982222527677303,0.218641479847921,-0.031190992763336728,otros,0,Estable 🟡
217701,COCTEL ,AQ JM,-0.027379543619793972,-0.02852935875259408,-0.02832011477784902,0.349538182417945,0.259005774695225,-0.027858499868352402,otros,0,Estable 🟡
214684,CUCHILLO BETIK ,A3 LO,-0.03731582144210867,-0.03793803906623124,-0.037876592750592394,0.396480478768879,0.283914086016019,-0.03773758277647209,otros,0,Estable 🟡
048314,REFRESCO TE ,AQ J2,-0.0018291149338419,-0.013780401795917458,-0.009021596153279883,0.437685734912234,0.304437697532662,0.0014026681531243263,bebidas sin alcohol,0,Estable 🟡
030083,AGUA GOURMET ,AQ J1,-0.010345924495825923,-0.027007880709310744,-0.027501455899544336,0.263309375809375,0.208428260607722,-0.028579321215543366,bebidas sin alcohol,0,Estable 🟡
203402,CERVEZA ,AQ J4,-0.03057334720553798,-0.03391176618784562,-0.033559531598999014,0.296265172735761,0.2285529064323269,-0.03278411240749068,bebidas alcohólicas,0,Estable 🟡
030660,CERVEZA ,AQ J4,0.05033634363331024,0.0037754198268162664,0.007103254886394756,0.298599669672093,0.229939739432932,0.014391381317483395,bebidas alcohólicas,0,Estable 🟡
221498,DEO.MICADERM ,A3 BM,-0.03767068850719133,-0.03753262955626546,-0.037461805585584686,0.291322314049587,0.2256,-0.03730230418517319,otros,0,Estable 🟡
042585,TINTO VERANO ,AQ J5,-0.01992733525305795,-0.015922712833873916,-0.016572359874176802,0.167248983738337,0.143284754211299,-0.017993345875154367,otros,0,Estable 🟡
601059,SALMON ,A0 K5,-0.035896353181777994,-0.031014280572501964,-0.030792464590329173,0.36066666666666597,0.265066144047036,-0.03030302443708699,pescados y mariscos,0,Estable 🟡
601088,AGUA VALTORRE ,AQ J1,-0.03376715079128199,-0.03711927084022192,-0.03683416711221776,0.652892561983472,0.395,-0.036205402135099984,bebidas sin alcohol,0,Estable 🟡
601022,SNACKIN ,AQ JL,-0.036960954377026,-0.03679732799407263,-0.03687510005613299,0.22521739130434798,0.183818310858765,-0.037041137030393856,dulces y snacks,0,Estable 🟡
211029,LAVAV.SOMAT ,A3 A8,-0.03518661905161266,-0.024209760169939094,-0.022884219825905903,0.31594533029612804,0.240090012117016,-0.019978216251477228,otros,0,Estable 🟡
600536,VASITO ,A0 K9,-0.03731582144210867,-0.03752547527079548,-0.03732536243920057,0.686032138442522,0.406891495601173,-0.036882695623161064,otros,0,Estable 🟡
006672,FREGONA VILEDA ,A3 BB,-0.035896353181777994,-0.034972985199226626,-0.03257714094503339,1.09701492537313,0.5231316725978651,-0.027325718872602555,otros,0,Estable 🟡
006254,* FANTA ,AQ J2,-0.020637069383223287,-0.01429312558793304,-0.014542085855981152,0.18980225549531,0.159524202125752,-0.015085684885277676,bebidas sin alcohol,0,Estable 🟡
016956,VAINILLA ,AQ JB,-0.03767068850719133,-0.037461086701565616,-0.03736083765726044,0.465781409601635,0.317770034843206,-0.03713689832047961,otros,0,Estable 🟡
033450,NACHOS ZANUY ,AQ JU,-0.03057334720553798,-0.030239232979920327,-0.02868851127308613,0.578947368421053,0.366666666666667,-0.025288615065323733,otros,0,Estable 🟡
601085,PAN DE PICOS ,AFAJ,0.07766110764467565,0.01366025758451128,0.0313464731359242,0.775306748466256,0.436717062634989,0.07008092428826382,panadería y repostería,0,Estable 🟡
025821,PIPA GOURMET ,AQ JM,-0.025250341229297965,-0.015465633484402695,-0.018005012911209973,0.174675324675323,0.148700939745715,-0.023564911843780116,otros,0,Estable 🟡
038210,COLONIA ,A3 BO,-0.03731582144210867,-0.03700798195513328,-0.03692694845175895,0.262328767123288,0.207813347802496,-0.03674514758831061,otros,0,Estable 🟡
601122,SUPER GLUE 3G                                     ,AB 3V,-0.03660608731194333,-0.037405442259021295,-0.03683416711221776,1.06611570247934,0.516000000000001,-0.035578600963629574,otros,0,Estable 🟡
038106,CREMA ,A3 BM,-0.03767068850719133,-0.037647893044392984,-0.03761189304660721,0.230206296132733,0.187128205128203,-0.03752864905264862,otros,0,Estable 🟡
202083,SURTIDO LA ,AQ JP,-0.03163794840078598,-0.02815256638450823,-0.02993014390518157,0.0857936507936509,0.0790146919084863,-0.03382007545478204,otros,0,Estable 🟡
037014,LECHE LECHERA ,AQ JX,-0.03447688492144733,-0.024853645862237685,-0.026273467582087304,0.180542740841247,0.1529319817024109,-0.02938023382353333,lácteos,0,Estable 🟡
219638,BATIDO ,AQ JZ,-0.025960075359463302,-0.024249506200327894,-0.025853222691224236,0.168960593946317,0.144539169944061,-0.02936282267988138,otros,0,Estable 🟡
600046,SALCHICHA BIG ,AD KN,-0.035541486116695324,-0.03313830843647953,-0.03336851119406125,0.25719026548672597,0.204575450945886,-0.03386882665700752,carnes,0,Estable 🟡
012175,YAKISOBA MAGGI ,AQ JK,-0.03731582144210867,-0.03699208354297776,-0.037079764775709165,0.19797297297297298,0.165256627185561,-0.037267481897869284,otros,0,Estable 🟡
016631,NESCAFE ,AQ I4,-0.03483175198652999,-0.02608974740732942,-0.02736228389023254,0.181925872745221,0.153923250975687,-0.030146324144219385,otros,0,Estable 🟡
000010,BEBIDA YOSOY ,AQ JW,-0.038025555572274,-0.03816856604248629,-0.03814402131750526,1,1.0,-0.0380858056495112,otros,2,Candidato a Promoción 🔴
219941,PATATA ARTIQ ,A0 K6,-0.032702549596033983,-0.029941137752004316,-0.03053049374927167,0.25832032701598,0.205289799004176,-0.03181779393480713,frutas y verduras,0,Estable 🟡
218326,Y.DANONE ,A0 LB,-0.033057416661116654,-0.03328401738388488,-0.034323613218750056,0.0953780055607651,0.0870731428571432,-0.036596630532959425,otros,0,Estable 🟡
212970,PATATA LAY'S ,AQ JL,-0.033057416661116654,-0.030656566299002746,-0.029777327581231364,0.474814814814815,0.321948769462581,-0.027848053182161225,frutas y verduras,0,Estable 🟡
016936,ANIS GOURMET ,AQ JB,-0.03731582144210867,-0.03771546129605395,-0.03760370645782417,0.578947368421053,0.366666666666667,-0.03735453761612906,otros,0,Estable 🟡
034528,PAN GOURMET ,AQ JK,-0.019217601122892617,-0.030116020285715042,-0.030189385883311385,0.33647201761712997,0.251761363636363,-0.030346552296216876,panadería y repostería,0,Estable 🟡
025813,CREMA ,AQ I7,-0.022411404708636624,-0.008128516274629878,-0.011570354127735114,0.171291106353293,0.146241276335302,-0.019107659068879363,otros,0,Estable 🟡
072466,MAYONESA ,AQ JA,-0.03447688492144733,-0.029066725083450675,-0.03077609141276308,0.072052401746725,0.0672097759674135,-0.034516521200860274,condimentos,0,Estable 🟡
004100,SEDA DENTAL ,A3 BL,-0.03767068850719133,-0.03735377241951585,-0.03701154320251711,0.6730497883491221,0.402289156626506,-0.036257635566055844,otros,0,Estable 🟡
057545,B.BASURA MICAL ,A3 BF,-0.032702549596033983,-0.03143161389158438,-0.029875566646627924,0.477090616543555,0.322993465126712,-0.026463867261830743,otros,0,Estable 🟡
209936,JABON ,A3 BM,-0.033057416661116654,-0.0334944328687632,-0.033273000991592375,0.254175099791982,0.2026631686708979,-0.03278411240749068,otros,0,Estable 🟡
028615,WHISKY J. ,AQ J7,-0.03660608731194333,-0.011634116154922197,-0.014686715591148314,0.0641102456560815,0.0602477477477478,-0.021371107743633704,bebidas alcohólicas,0,Estable 🟡
055798,PAPEL HIG.FOXY ,A3 BG,-0.020637069383223287,-0.0009901292168010693,0.010435196521094831,0.572823576602224,0.364200782035387,0.03545886513634984,otros,0,Estable 🟡
061376,GEL SANEX ,A3 BM,-0.03660608731194333,-0.03415421697321731,-0.03378875608492432,0.306091154570002,0.23435665535211,-0.03298434055948817,higiene personal,0,Estable 🟡
221213,CUCHILLO KFK ,A3 4O,-0.035896353181777994,-0.026483233108178555,-0.026699170198805744,0.17897003429470998,0.15180202133108,-0.027169018579734954,otros,0,Estable 🟡
010628,INSECT.MICAL ,A3 BC,-0.033412283726199324,-0.029643042524088302,-0.02931069202059769,0.24722418077789998,0.19821952186952,-0.028579321215543366,otros,0,Estable 🟡
030189,CERVEZA ,AQ J4,-0.03412201785636466,-0.0287010616038737,-0.02811817892120053,0.274716017514276,0.215511544328107,-0.026838206850347792,bebidas alcohólicas,0,Estable 🟡
025814,CREMA ,AQ I7,-0.03376715079128199,-0.02991729013377103,-0.030939823188424014,0.15606936416185,0.135,-0.03317586313965968,otros,0,Estable 🟡
081989,BEB.ENERG.,AQ J2,0.04146466700624355,0.06843823666635755,0.07736328868543034,0.304226948274241,0.233262277456232,0.09690279108410164,otros,0,Estable 🟡
084657,CARAMELO ,AQ I9,-0.03234768253095132,-0.022091296750215955,-0.023517316025128195,0.204517361501293,0.169791958205057,-0.026637978698350304,dulces y snacks,0,Estable 🟡
006183,DETERG.MICAL ,A3 A5,-0.008571589170412586,0.04715821199619345,0.05224956316197052,0.275081381937676,0.21573633325243,0.06339504512591282,otros,0,Estable 🟡
030437,COCACOLA ZERO ,AQ J2,0.34984414656308177,0.21073300006130777,0.2295164989442114,0.29460520868484097,0.227563744304816,0.2706311824433133,bebidas sin alcohol,0,Estable 🟡
072081,DANACOL ,A0 LB,-0.035896353181777994,-0.029802821566251286,-0.030792464590329173,0.19713548519135798,0.164672660388015,-0.03295648272964504,otros,0,Estable 🟡
087676,QUESO VACA RIE ,AD AQ,-0.035896353181777994,-0.03196818530183321,-0.0335922779541312,0.0281065088757384,0.0273381294964017,-0.03714560389230559,lácteos,0,Estable 🟡
206141,PIMENTON ,AQ JB,-0.03731582144210867,-0.03722261051923281,-0.03702518751715552,0.566386554621849,0.361587982832618,-0.036588447295443007,otros,0,Estable 🟡
082098,MAIZ ,AQ JR,-0.03483175198652999,-0.031018255175540847,-0.031684802767681285,0.196068522916772,0.1639275001056239,-0.033141040852355766,otros,0,Estable 🟡
600996,TRIPACK ,AQ JV,-0.036960954377026,-0.03548570899124217,-0.035696231271374244,0.20800000000000002,0.1721854304635759,-0.03615316870414412,otros,0,Estable 🟡
092380,PEPINO E/K                                        ,AEAI,-0.03787651140493928,-0.03793485938380014,-0.03795027204963981,0.161041339612769,0.138704225352113,-0.03797959767323427,otros,0,Estable 🟡
600580,PAPEL OCB SLIM                                    ,A3 ME,-0.028444144815041976,-0.0335540519143464,-0.03077609141276308,1.11395348837209,0.526952695269527,-0.02468793060933126,otros,0,Estable 🟡
030332-P,COCACOLA ,AQ J2,-0.038025555572274,-0.03816856604248629,-0.038711624806463174,1,1.0,-0.0398965645893146,bebidas sin alcohol,2,Candidato a Promoción 🔴
090042,HUEVO XL +73G ,ACKF,-0.03412201785636466,-0.02986164569122671,-0.02955901854701678,0.47578947368421,0.322396576319543,-0.028892721801278567,otros,0,Estable 🟡
033327,CHOCO.RAM A LA ,AQ I6,-0.020637069383223287,0.0005361183501289162,-0.0014435438031061673,0.255503276760209,0.203506658636151,-0.005779428603307317,otros,0,Estable 🟡
012858,MIEL ,AQ JS,-0.035541486116695324,-0.025946661697929734,-0.025877782457573374,0.328910569105691,0.247503915426782,-0.025723893656622625,otros,0,Estable 🟡
600705,GEL LA TOJA ,A3 BM,-0.03731582144210867,-0.03657872482693422,-0.03677958985366411,0.1365,0.120105587329521,-0.03721524846691342,higiene personal,0,Estable 🟡
001535,PAPEL ALBAL ,A3 BF,-0.033412283726199324,-0.02783459814139782,-0.027536931117604205,0.235505721551176,0.190614836858464,-0.026881734709477686,otros,0,Estable 🟡
021742,VINO C.IZNAR ,AQ J5,-0.036251220246860665,-0.03349840747180208,-0.03309562490129302,0.301263935291014,0.231516395037598,-0.03220954466697614,bebidas alcohólicas,0,Estable 🟡
600917,DORITOS CHILLI ,AQ JL,-0.035896353181777994,-0.03486328615535353,-0.03503311757994745,0.24603174603174602,0.197452229299363,-0.035401007298379625,otros,0,Estable 🟡
003395,PIZZA ,A0 K8,-0.03057334720553798,-0.017202535012393334,-0.01665422576200724,0.357139164153382,0.263155889673388,-0.015451318901968741,otros,0,Estable 🟡
006086,DESENGRAS.,A3 BA,-0.03731582144210867,-0.03719876290099953,-0.03705793387228771,0.34820823736620904,0.258274818173824,-0.03674514758831061,otros,0,Estable 🟡
210794,"PEPSI PET 1,75L                                   ",AQ J2,-0.013539728081569932,-0.010803424119796243,-0.0071523250478175175,0.363109286567398,0.266383106729311,0.0008455115562618288,otros,0,Estable 🟡
600834,SABORIZANTE A ,,-0.03731582144210867,-0.03634024864460141,-0.0365203478755343,0.175869565217391,0.14956553891662,-0.03691055345300419,otros,0,Estable 🟡
022025,SETA FINDUS ,A0 K6,-0.035541486116695324,-0.03093478851172436,-0.030164826116962248,0.46050949050949,0.315307427648994,-0.028474854353631635,otros,0,Estable 🟡
208960,ACTIVADOR ,A3 A6,-0.03767068850719133,-0.0366224454603619,-0.036318412018885804,0.42133676092545,0.296436968710436,-0.0356482455382374,otros,0,Estable 🟡
037103,COMIDA GATO ,AQ JN,-0.03447688492144733,-0.03567251533406954,-0.03514227209705474,0.5923566878980889,0.372,-0.033976775747649644,mascotas,0,Estable 🟡
219945,REFRESCO ,AQ J2,-0.03518661905161266,-0.03165021705872279,-0.03161658119448922,0.205365853658537,0.1703763658437879,-0.03153921563637584,bebidas sin alcohol,0,Estable 🟡
017033,GOLOSINA ,AQ I9,-0.03234768253095132,-0.03358982334169632,-0.03399614966742818,0.2,0.166666666666667,-0.03488215521755134,otros,0,Estable 🟡
003552,DEO.REXONA ,A3 BM,-0.033412283726199324,-0.025080198235453852,-0.025372942815952152,0.17449234916037798,0.148568314885252,-0.026011177526879897,otros,0,Estable 🟡
218568,BAYETA MICAL ,A3 BB,-0.03660608731194333,-0.03712324544326081,-0.03591726916851651,1.56420199226974,0.610015122437825,-0.03327162442974544,otros,2,Candidato a Promoción 🔴
038205,DEO.MICADERM ,A3 BM,-0.035541486116695324,-0.03390381698176786,-0.033477665711168544,0.317172829712015,0.240798187267013,-0.032540356396363296,otros,0,Estable 🟡
